iter	RMSE
133	19354.03999
134	19285.28867
135	19248.09183
136	19187.04552
137	19136.40164
138	19075.57784
139	19036.38532
140	19015.18118
141	18960.26085
142	18879.94201
143	18802.25652
144	18783.81119
145	18735.95086
146	18699.15989
147	18647.04934
148	18617.5604
149	18559.90548
150	18500.61666
151	18474.785
152	18422.58273
153	18365.81332
154	18310.64015
155	18251.50377
156	18190.97617
157	18116.78302
158	18071.82141
159	18013.58491
160	17949.48357
161	17894.99129
162	17828.23484
163	17765.67649
164	17702.52959
165	17691.48152
166	17639.84445
167	17591.55411
168	17557.5923
169	17488.24012
170	17426.809
171	17374.45561
172	17324.05785
173	17271.58375
174	17225.51079
175	17190.73449
176	17169.37233
177	17128.39084
178	17078.26334
179	17032.68442
180	16990.99927
181	16945.51422
182	16887.29089
183	16841.45296
184	16797.20052
185	16737.92442
186	16701.82975
187	16654.75382
188	16647.30995
189	16608.04641
190	16542.56158
191	16489.76708
192	16450.89391
193	16442.71405
194	16408.48128
195	16357.3531
196	16320.60508
197	16302.37329
198	16293.73877
199	16285.58729
200	16213.33382
201	16168.72619
202	16143.71354
203	16105.25097
204	16070.06477
205	16025.8707
206	15980.98949
207	15945.93124
208	15914.6908
209	15878.19492
210	15853.55326
211	15789.19311
212	15756.45863
213	15706.93367
214	15665.91795
215	15602.74272
216	15597.07162
217	15516.71598
218	15511.67434
219	15463.90233
220	15430.40296
221	15378.36207
222	15334.55056
223	15308.37111
224	15272.33084
225	15235.60085
226	15193.9447
227	15155.8517
228	15102.40205
229	15047.40547
230	15042.40167
231	15015.61671
232	14986.51346
233	14979.88528
234	14930.16308
235	14878.57995
236	14850.78024
237	14813.58406
238	14807.54791
239	14779.02811
240	14773.59195
241	14754.42317
242	14693.8798
243	14665.59765
244	14628.40932
245	14600.50239
246	14565.03564
247	14538.04705
248	14515.94195
249	14477.27896
250	14447.35445
251	14382.81978
252	14377.75986
253	14339.01304
254	14297.10784
255	14292.80818
256	14269.57469
257	14240.15595
258	14201.23652
259	14163.49807
260	14156.21939
261	14116.32034
262	14111.73188
263	14078.08355
264	14051.14012
265	14028.38776
266	14007.94212
267	13983.60834
268	13970.06181
269	13937.81564
270	13916.91517
271	13886.77992
272	13851.43739
273	13827.31599
274	13822.99711
275	13802.47193
276	13768.24487
277	13732.05678
278	13707.46841
279	13685.32094
280	13658.28311
281	13615.57425
282	13579.31452
283	13574.74674
284	13539.75771
285	13536.45461
286	13507.89795
287	13479.9414
288	13475.17779
289	13431.54203
290	13405.76796
291	13378.84982
292	13374.62167
293	13338.34148
294	13316.82225
295	13292.52914
296	13271.52787
297	13257.30033
298	13254.10269
299	13237.05889
300	13234.21691
301	13208.72727
302	13170.04878
303	13167.46937
304	13163.11294
305	13160.38223
306	13156.51324
307	13128.93899
308	13122.28669
309	13097.53872
310	13094.98275
311	13052.30254
312	13050.06873
313	13015.44241
314	13012.58103
315	13009.85764
316	13007.65484
317	13001.78628
318	12981.57128
319	12954.65864
320	12918.06665
321	12898.44595
322	12857.36989
323	12845.32708
324	12831.96058
325	12829.04719
326	12790.74986
327	12788.35897
328	12757.20354
329	12737.94418
330	12707.27931
331	12693.10439
332	12673.33764
333	12656.82903
334	12635.24278
335	12602.5534
336	12574.43169
337	12551.44148
338	12513.44197
339	12473.54889
340	12458.60685
341	12439.70522
342	12418.61679
343	12401.96758
344	12366.68795
345	12344.7759
346	12321.31976
347	12293.81292
348	12268.74877
349	12236.55078
350	12205.71229
351	12191.43396
352	12175.26139
353	12170.92097
354	12122.95134
355	12089.28734
356	12085.90129
357	12064.61153
358	12049.28653
359	12010.81782
360	11998.59329
361	11980.54856
362	11969.18841
363	11945.59885
364	11911.06455
365	11886.92408
366	11867.98616
367	11855.01822
368	11835.98509
369	11815.98244
370	11806.96835
371	11782.87865
372	11758.76011
373	11746.78614
374	11720.29495
375	11693.6702
376	11666.39475
377	11637.77493
378	11614.24296
379	11579.52731
380	11549.14939
381	11528.47335
382	11491.64244
383	11471.78538
384	11462.3679
385	11460.69936
386	11446.2457
387	11443.65776
388	11415.80283
389	11396.82971
390	11385.84066
391	11370.33313
392	11344.34333
393	11338.28183
394	11326.04063
395	11306.36086
396	11289.79886
397	11277.1215
398	11238.3085
399	11196.21615
400	11179.34056
401	11156.13028
402	11142.19992
403	11114.04341
404	11087.23089
405	11062.54094
406	11056.68593
407	11037.71889
408	11026.59621
409	11015.0976
410	10983.48892
411	10968.87073
412	10958.94298
413	10956.56324
414	10935.92161
415	10933.46114
416	10916.1315
417	10914.9471
418	10900.04488
419	10884.98422
420	10845.51597
421	10829.3399
422	10803.63212
423	10800.73761
424	10777.61846
425	10758.02459
426	10736.45327
427	10715.73799
428	10686.00924
429	10668.84193
430	10630.90313
431	10627.6786
432	10595.34043
433	10574.5288
434	10551.99585
435	10531.24078
436	10519.97581
437	10505.86313
438	10494.87086
439	10475.16297
440	10456.20642
441	10433.57912
442	10426.99871
443	10405.70327
444	10376.70569
445	10368.55184
446	10356.80931
447	10327.85131
448	10311.61082
449	10297.67533
450	10278.19997
451	10250.71749
452	10230.03449
453	10215.22263
454	10192.754
455	10163.53188
456	10133.46369
457	10132.0639
458	10116.08237
459	10098.09261
460	10080.01654
461	10052.66491
462	10045.38298
463	10037.93228
464	10025.36535
465	10013.61743
466	9992.494027
467	9971.585288
468	9946.927536
469	9935.546627
470	9923.93103
471	9902.356264
472	9882.515323
473	9860.84019
474	9840.180146
475	9822.377355
476	9799.467571
477	9781.144899
478	9762.33952
479	9750.279722
480	9744.663759
481	9726.510122
482	9709.501647
483	9693.872086
484	9674.067859
485	9649.087278
486	9629.969103
487	9614.329658
488	9603.17245
489	9597.067904
490	9595.731314
491	9585.314968
492	9580.303925
493	9554.428393
494	9533.936098
495	9507.372945
496	9479.47814
497	9465.184024
498	9458.385316
499	9447.645823
500	9429.832544
501	9428.606761
502	9410.748079
503	9394.828751
504	9381.444264
505	9366.361144
506	9340.052046
507	9326.625219
508	9309.603757
509	9290.888049
510	9271.908144
511	9266.600401
512	9253.220553
513	9234.479537
514	9209.253585
515	9208.238552
516	9185.345955
517	9170.384
518	9162.312353
519	9160.964348
520	9147.750686
521	9133.359893
522	9121.743668
523	9103.653939
524	9087.306447
525	9061.250815
526	9046.26516
527	9041.08582
528	9016.108188
529	8993.372121
530	8973.412306
531	8952.746144
532	8933.821313
533	8929.638547
534	8920.801466
535	8918.99506
536	8894.743464
537	8893.968845
538	8869.142429
539	8855.781279
540	8831.67476
541	8808.700888
542	8786.935185
543	8778.89391
544	8764.725369
545	8757.212508
546	8733.576833
547	8715.281212
548	8696.448522
549	8673.058705
550	8649.272543
551	8642.128992
552	8623.749755
553	8594.243978
554	8573.337623
555	8554.138609
556	8553.188657
557	8538.695331
558	8515.810898
559	8503.43327
560	8493.78445
561	8488.569632
562	8463.7293
563	8459.140171
564	8441.964296
565	8438.86281
566	8424.228565
567	8423.43543
568	8401.731635
569	8393.847773
570	8393.16244
571	8388.210439
572	8360.580903
573	8354.685319
574	8334.74834
575	8318.313451
576	8302.29944
577	8281.521263
578	8259.968378
579	8245.352068
580	8232.718872
581	8222.134217
582	8206.881198
583	8201.417276
584	8181.562265
585	8168.35068
586	8149.291324
587	8131.852537
588	8110.092511
589	8092.051863
590	8071.372146
591	8058.543538
592	8048.433546
593	8034.484263
594	8021.598675
595	8003.240686
596	8001.076913
597	7983.390741
598	7979.72562
599	7964.142875
600	7941.35664
601	7939.406564
602	7935.277856
603	7921.930433
604	7907.011467
605	7901.890945
606	7886.959289
607	7884.498001
608	7876.038576
609	7869.95971
610	7854.342233
611	7838.922421
612	7824.255542
613	7814.211225
614	7795.636498
615	7783.869597
616	7769.068465
617	7745.342338
618	7736.9763
619	7730.548344
620	7709.874284
621	7696.652003
622	7679.70873
623	7663.12689
624	7647.693176
625	7632.009065
626	7616.038869
627	7614.577977
628	7601.182988
629	7588.884895
630	7581.167751
631	7565.492376
632	7549.534573
633	7528.360531
634	7523.883856
635	7513.300182
636	7498.02659
637	7491.747818
638	7480.002495
639	7465.553013
640	7451.340832
641	7443.647985
642	7435.350239
643	7420.688143
644	7403.898415
645	7399.308324
646	7388.055062
647	7372.833515
648	7359.646724
649	7335.467442
650	7327.318431
651	7320.329292
652	7307.712908
653	7297.429469
654	7288.363901
655	7274.186363
656	7254.90072
657	7239.430976
658	7237.740911
659	7223.514956
660	7203.544441
661	7188.556982
662	7177.200359
663	7163.007147
664	7156.526154
665	7141.949347
666	7133.230451
667	7122.775396
668	7112.768276
669	7098.948179
670	7085.413349
671	7069.33234
672	7056.658977
673	7039.417628
674	7030.806582
675	7013.636208
676	6997.198325
677	6983.19277
678	6972.676185
679	6964.988257
680	6942.871674
681	6938.94895
682	6925.565282
683	6921.665764
684	6906.447698
685	6888.031345
686	6880.43517
687	6877.330992
688	6870.834129
689	6860.149491
690	6848.70224
691	6843.122758
692	6833.403032
693	6818.000323
694	6805.916556
695	6795.079012
696	6793.159345
697	6789.011308
698	6773.253141
699	6757.271992
700	6740.911926
701	6733.211244
702	6724.25877
703	6719.908872
704	6704.020187
705	6686.488072
706	6677.184489
707	6670.386809
708	6660.640079
709	6650.562516
710	6643.763024
711	6640.269384
712	6626.855548
713	6613.944987
714	6604.647892
715	6592.556434
716	6578.32116
717	6565.913883
718	6558.251747
719	6545.550789
720	6530.766311
721	6517.202296
722	6512.39792
723	6498.695838
724	6488.895332
725	6484.618371
726	6468.978192
727	6459.436302
728	6446.703502
729	6440.011671
730	6424.752135
731	6423.690698
732	6418.29906
733	6403.448235
734	6389.407175
735	6373.32893
736	6372.473281
737	6361.721527
738	6353.070882
739	6339.812251
740	6326.696592
741	6325.356794
742	6309.829616
743	6297.374073
744	6288.227429
745	6279.157808
746	6271.082193
747	6270.110992
748	6263.596116
749	6263.121148
750	6250.419285
751	6247.39075
752	6238.450437
